sample_ID,Metabolomics_Min,Metabolomics_Max,Metabolomics_Mean,Metabolomics_Median,Metabolomics_Std,Metabolomics_Zeros,Metabolomics_ZerosProportion,Metabolomics_NAs,Metabolomics_NAsProportion,Lipidomics_Min,Lipidomics_Max,Lipidomics_Mean,Lipidomics_Median,Lipidomics_Std,Lipidomics_Zeros,Lipidomics_ZerosProportion,Lipidomics_NAs,Lipidomics_NAsProportion,Microbiota_Min,Microbiota_Max,Microbiota_Mean,Microbiota_Median,Microbiota_Std,Microbiota_Zeros,Microbiota_ZerosProportion,Microbiota_NAs,Microbiota_NAsProportion,EXPRESSION_TPMs_Min,EXPRESSION_TPMs_Max,EXPRESSION_TPMs_Mean,EXPRESSION_TPMs_Median,EXPRESSION_TPMs_Std,EXPRESSION_TPMs_Zeros,EXPRESSION_TPMs_ZerosProportion,EXPRESSION_TPMs_NAs,EXPRESSION_TPMs_NAsProportion
4008051,0.0376387930493695,10391.0049090384,255.43265403841093,3.75149703410683,1231.4457256018109,0,0.0,0.0,0.0,0.0,8987.22567399191,48.7671954290051,1.39378833699592,431.5054374578657,1,0.002070393374741201,0.0,0.0,428,3113334,21128.18181818182,2596.0,200298.52727304568,0,0.0,0.0,0.0,0.0,180717.51,3.9542215315509806,0.0,548.4407874386688,154470,0.6108092718688463,0.0,0.0
4045074,0.0321769733534439,11417.6147848686,264.7068647370796,5.49248611564848,1333.666640957426,0,0.0,0.0,0.0,0.0,9508.90232363472,50.258509331631785,1.74965889705637,445.0123343755969,1,0.002070393374741201,0.0,0.0,0,131464,3023.190082644628,370.0,12157.825689953244,3,0.012396694214876033,0.0,0.0,0.0,154108.36,3.9542293213759443,0.0,488.2523643113451,142351,0.5628880084145926,0.0,0.0
4067226,0.0281548516842634,7747.94975454808,220.12171902693527,4.72373746260778,932.6798328746386,0,0.0,0.0,0.0,0.0,5323.13548022898,36.174117313273044,1.39302639506154,258.226474523124,1,0.002070393374741201,0.0,0.0,19,177413,4738.202479338843,784.5,16569.243448658322,0,0.0,0.0,0.0,0.0,186733.08,3.9542225596496614,0.0,520.292043334516,145609,0.5757708763355398,0.0,0.0
4143207,0.0392156862745098,10641.0337857349,249.3785458477983,3.84978591119714,1233.9045806862077,0,0.0,0.0,0.0,0.0,6646.07451586736,37.559422620651695,1.27730140977359,317.55108267139804,1,0.002070393374741201,0.0,0.0,398,2425369,23735.45867768595,4745.0,158538.146541891,0,0.0,0.0,0.0,0.0,220122.66,3.954227383805186,0.0,644.6102059032368,163492,0.6464842977690257,0.0,0.0
4381806,0.0477626948215184,11111.5506786024,259.12136250988067,4.65921754941639,1288.9638993586627,0,0.0,0.0,0.0,0.0,4947.63893625033,24.639822396468425,0.633676165285376,234.31598725622948,1,0.002070393374741201,0.0,0.0,77,171608,3952.698347107438,626.5,14688.639215531974,0,0.0,0.0,0.0,0.0,216558.05,3.9542218874312547,0.0,568.8311975357012,155865,0.6163254169731192,0.0,0.0
4403762,0.0387129210658622,10655.991914525,257.51992759504645,4.48327238250034,1252.8379743662108,0,0.0,0.0,0.0,0.0,4444.39992189152,26.54446940309317,1.04314084410828,215.57774785476954,1,0.002070393374741201,0.0,0.0,109,278828,5517.599173553719,980.0,22936.77305061897,0,0.0,0.0,0.0,0.0,157366.85,3.9542125159160255,0.0,508.43257748098387,138902,0.5492498833503365,0.0,0.0
4437601,0.0130718954248366,8381.15795552989,212.97515357498145,3.37377453617046,973.8161457261732,0,0.0,0.0,0.0,0.0,6598.67760861323,37.84841449900777,1.05841342470632,319.1121616033991,2,0.004140786749482402,0.0,0.0,8,147642,3564.7396694214876,538.5,13475.856249995251,0,0.0,0.0,0.0,0.0,105824.38,3.954224418135842,0.0,291.1671241811594,150643,0.5956764494214968,0.0,0.0
4483042,0.0188193965246848,8934.75310424488,231.09274040318306,4.50424334089572,1058.861901028986,0,0.0,0.0,0.0,0.0,7117.60519266986,37.61828147648866,0.978643069641695,343.3646734874977,1,0.002070393374741201,0.0,0.0,38,108097,3278.896694214876,745.0,10228.284215518894,0,0.0,0.0,0.0,0.0,214523.54,3.954221887431281,0.0,624.5874934042207,157251,0.6218059740444614,0.0,0.0
4519316,0.040775359136817,7329.90181923188,213.61017506211476,4.17174590274956,888.537055465759,0,0.0,0.0,0.0,0.0,5547.35966521635,30.89469502186423,0.910416125882121,268.7961217799445,1,0.002070393374741201,0.0,0.0,146,168572,4412.227272727273,935.0,16058.928761173076,0,0.0,0.0,0.0,0.0,100232.49,3.9542295981716284,0.0,284.11698297662474,158460,0.6265866331348312,0.0,0.0
4585816,0.0542986425339367,8015.1313889691,205.82565219084037,4.0462986303672,939.8254792393706,0,0.0,0.0,0.0,0.0,5640.98911845209,36.66083622268408,1.36348306528824,274.36327753548693,1,0.002070393374741201,0.0,0.0,0,159742,3918.714876033058,661.0,14656.739650830468,3,0.012396694214876033,0.0,0.0,0.0,223984.55,3.9542239040863425,0.0,654.562824248724,184930,0.731254992210175,0.0,0.0
4680340,0.0282290947870272,9675.8735200693,240.53316937717958,3.62564087006644,1135.9564067208828,0,0.0,0.0,0.0,0.0,8396.2669953947,45.42335275737953,1.63047633396893,401.50737480337455,2,0.004140786749482402,0.0,0.0,196,307804,4232.48347107438,1046.0,20682.07867395488,0,0.0,0.0,0.0,0.0,253895.89,3.9542195148956254,0.0,784.6533572955393,164627,0.6509723441441869,0.0,0.0
4692654,0.0345022269619221,7016.83511406295,221.44610502946625,3.84593879300705,889.461779266299,0,0.0,0.0,0.0,0.0,4464.55038550533,28.32841958070562,1.12250618799193,213.48096520686272,1,0.002070393374741201,0.0,0.0,4,108949,2853.301652892562,566.0,9861.147249833652,0,0.0,0.0,0.0,0.0,211854.41,3.954222599191906,0.0,579.2674472088461,159734,0.631624316907479,0.0,0.0
4705059,0.0236299648064354,9318.26451054,224.38736634151243,4.2123797914127,1091.297956351032,0,0.0,0.0,0.0,0.0,4840.24013741466,31.124253882026675,1.26437353329856,232.13442130914356,1,0.002070393374741201,0.0,0.0,70,171785,4691.574380165289,768.5,17435.88931259316,0,0.0,0.0,0.0,0.0,192510.4,3.9542250903542464,0.0,608.3397708896994,158804,0.6279468868379637,0.0,0.0
4710813,0.0219559626121322,7884.8686110309,208.46927025583528,4.93066686547135,937.8700974333346,0,0.0,0.0,0.0,0.0,5548.40770598672,37.06029859706185,1.28960573034287,275.6816527841892,1,0.002070393374741201,0.0,0.0,151,137387,4665.962809917355,1238.5,13550.283300412304,0,0.0,0.0,0.0,0.0,262277.45,3.9542228759876408,0.0,703.9159765332024,180455,0.7135598313918085,0.0,0.0
4710952,0.0250925286995797,8680.76812012706,230.4238509573617,4.64580793715292,1030.8997435282113,0,0.0,0.0,0.0,0.0,6134.55673590184,41.88135782043961,1.86702292160793,295.2423745700457,1,0.002070393374741201,0.0,0.0,0,238310,4653.876033057852,359.0,21210.150013876002,7,0.028925619834710745,0.0,0.0,0.0,290883.5,3.954224457678131,0.0,748.0034343425328,144223,0.5702903192641976,0.0,0.0
4759195,0.0470484913117119,8442.50649725671,245.50987237609831,5.58527108927109,1055.7218834385278,0,0.0,0.0,0.0,0.0,5001.4953734753,26.121905366249177,0.849430466451364,237.21606763870622,1,0.002070393374741201,0.0,0.0,51,144858,4722.00826446281,1013.5,14693.440936269802,0,0.0,0.0,0.0,0.0,213025.14,3.9542212942974198,0.0,660.0224811819706,154975,0.6128061559388519,0.0,0.0
4759777,0.0250925286995797,5127.92376552122,164.76177953585113,3.36642096642097,638.6919713860323,0,0.0,0.0,0.0,0.0,5090.88689431213,29.767450187354772,0.978316324773285,245.84934718483805,1,0.002070393374741201,0.0,0.0,30,77845,2659.206611570248,595.0,7878.118585998805,0,0.0,0.0,0.0,0.0,141670.69,3.954223785459727,0.0,447.7986717915734,146938,0.5810260425316536,0.0,0.0
4772183,0.0321769733534439,7245.06208489749,207.19149427159206,3.94148720032507,865.4092416622701,0,0.0,0.0,0.0,0.0,8574.88071046018,43.017613596944926,1.04550897233734,421.1762992949233,1,0.002070393374741201,0.0,0.0,17,241292,5822.561983471074,966.0,21823.382990348793,0,0.0,0.0,0.0,0.0,267449.76,3.954222520107254,0.0,633.6431140442338,191171,0.7559333159347394,0.0,0.0
4783769,0.0256410256410256,9848.26739820965,249.55020530421774,3.31672655994773,1171.817837838692,0,0.0,0.0,0.0,0.0,7381.79431834664,38.523679814611086,0.990308809781501,358.334165090569,1,0.002070393374741201,0.0,0.0,20,120089,3019.809917355372,639.0,10230.30246594066,0,0.0,0.0,0.0,0.0,239250.9,3.9542208197901507,0.0,578.356571876954,197485,0.7809002981486315,0.0,0.0
4857223,0.0219559626121322,5661.07421311002,189.0157203934669,3.73988714281028,753.5169360244413,0,0.0,0.0,0.0,0.0,5703.71970133304,36.82337186223459,1.09923594077414,274.4828190436556,1,0.002070393374741201,0.0,0.0,13,120860,3034.623966942149,498.0,11043.788392636468,0,0.0,0.0,0.0,0.0,49329.27,3.9542281746502326,0.0,141.40646068337978,179270,0.7088740737225874,0.0,0.0
4894510,0.0439119252242645,10037.5830205025,255.47783906890217,4.6416212094551,1196.6578286219033,0,0.0,0.0,0.0,0.0,4716.25278907231,31.39278521915432,1.04595306755772,229.06881181956248,1,0.002070393374741201,0.0,0.0,258,522887,8753.921487603306,1764.5,38193.878361221934,0,0.0,0.0,0.0,0.0,142683.74,3.9542256439458017,0.0,447.003723448299,174318,0.6892927471588887,0.0,0.0
5012362,0.0219559626121322,7604.46144961016,234.40537682572673,3.72088452088452,932.0197573358333,0,0.0,0.0,0.0,0.0,9528.03550097526,47.00130137253394,1.06864661848138,462.3095049938711,2,0.004140786749482402,0.0,0.0,189,1029786,8653.214876033058,1262.0,66851.9437721867,0,0.0,0.0,0.0,0.0,197152.52,3.9542216501778054,0.0,590.7163594541128,152689,0.6037667955744304,0.0,0.0
5063711,0.0219559626121322,5712.04158244297,172.73084463291522,4.55511238677452,705.8945541528946,0,0.0,0.0,0.0,0.0,5406.6806814484,32.856695353375244,1.10003843474975,263.86612440270045,1,0.002070393374741201,0.0,0.0,215,532191,6940.900826446281,1253.0,36538.01330346791,0,0.0,0.0,0.0,0.0,361948.44,3.9542161538036553,0.0,848.0381678203224,176460,0.6977626989964175,0.0,0.0
